P_prefix,amount,day,payee,payer,step
44,44,1,H2,H1,1
83,83,1,H3,H2,2
189,106,1,H5,H4,3
189,93,1,H6,H5,4
269,80,1,H8,H7,5
279,90,1,H9,H8,6
279,84,1,dealer_short,H9,7
343,64,1,H11,H10,8
389,110,1,H12,H11,9
389,35,1,H13,H12,10
403,49,1,H14,H13,11
474,71,1,dealer_short,H15,12
543,69,1,H18,H17,13
548,74,1,dealer_short,H18,14
647,99,1,H20,H19,15
787,140,1,H22,H21,16
787,88,1,H23,H22,17
804,105,1,H24,H23,18
804,57,1,H25,H24,19
958,154,1,H27,H26,20
958,116,1,H28,H27,21
958,77,1,H29,H28,22
1070,112,1,H31,H30,23
1070,89,1,H32,H31,24
1070,88,1,H33,H32,25
1118,136,1,H34,H33,26
1118,36,1,dealer_short,H34,27
1166,48,1,H37,H36,28
1166,24,1,H38,H37,29
1207,41,1,dealer_short,H39,30
1305,98,1,H42,H41,31
1328,121,1,H43,H42,32
1328,64,1,H44,H43,33
1328,43,1,H45,H44,34
1415,87,1,H48,H47,35
1415,68,1,H49,H48,36
1425,78,1,H50,H49,37
1451,104,1,H51,H50,38
1451,76,1,H52,H51,39
1462,87,1,H53,H52,40
1462,86,1,H54,H53,41
1462,83,1,H55,H54,42
1492,113,1,H56,H55,43
1503,124,1,H57,H56,44
1503,46,1,H58,H57,45
1506,49,1,H59,H58,46
1606,100,1,H61,H60,47
1613,107,1,H62,H61,48
1613,49,1,H63,H62,49
1635,71,1,dealer_short,H63,50
1754,119,1,dealer_short,H64,51
1824,70,1,H66,H65,52
1874,120,1,H67,H66,53
1888,134,1,H68,H67,54
1909,155,1,dealer_short,H68,55
2041,132,1,H70,H69,56
2041,68,1,H71,H70,57
2186,145,1,H73,H72,58
2192,151,1,H74,H73,59
2192,90,1,dealer_short,H74,60
2309,117,1,H76,H75,61
2491,182,1,H78,H77,62
2491,54,1,H79,H78,63
2524,87,1,H80,H79,64
2524,75,1,H81,H80,65
2527,78,1,H82,H81,66
2645,118,1,H84,H83,67
2645,83,1,H85,H84,68
2645,33,1,H86,H85,69
2752,107,1,H88,H87,70
2752,46,1,H89,H88,71
2752,37,1,H90,H89,72
2796,44,1,H92,H91,73
2799,47,1,H93,H92,74
2799,35,1,H94,H93,75
2818,54,1,H95,H94,76
2893,75,1,H97,H96,77
2931,38,1,H99,H98,78
2944,51,1,H100,H99,79
2929,80,1,H1,H100,80
